Access,Start Time (UTCG),Stop Time (UTCG),Duration (sec),,
212,7 Sep 2019 02:06:09.825,7 Sep 2019 02:16:09.700,599.874,,
213,7 Sep 2019 03:42:47.491,7 Sep 2019 03:53:23.967,636.477,,
214,7 Sep 2019 05:19:15.188,7 Sep 2019 05:29:27.635,612.448,,
215,7 Sep 2019 06:57:59.257,7 Sep 2019 07:01:36.348,217.091,,
216,7 Sep 2019 20:25:03.229,7 Sep 2019 20:31:04.276,361.047,,
217,7 Sep 2019 21:58:24.272,7 Sep 2019 22:08:51.983,627.71,,
218,7 Sep 2019 23:34:46.211,7 Sep 2019 23:45:16.720,630.509,,
219,8 Sep 2019 01:12:02.574,8 Sep 2019 01:22:00.612,598.038,,
220,8 Sep 2019 02:48:52.766,8 Sep 2019 02:59:16.845,624.079,,
221,8 Sep 2019 04:25:16.638,8 Sep 2019 04:35:53.578,636.94,,
222,8 Sep 2019 06:02:35.188,8 Sep 2019 06:09:58.954,443.766,,
223,8 Sep 2019 21:04:58.470,8 Sep 2019 21:14:49.961,591.491,,
224,8 Sep 2019 22:40:42.081,8 Sep 2019 22:51:22.934,640.853,,
225,9 Sep 2019 00:17:51.933,9 Sep 2019 00:27:55.568,603.634,,
226,9 Sep 2019 01:54:54.952,9 Sep 2019 02:05:05.881,610.93,,
227,9 Sep 2019 03:31:22.109,9 Sep 2019 03:42:05.624,643.515,,
228,9 Sep 2019 05:08:07.270,9 Sep 2019 05:17:15.705,548.435,,
229,9 Sep 2019 20:11:54.125,9 Sep 2019 20:20:36.321,522.196,,
230,9 Sep 2019 21:46:46.495,9 Sep 2019 21:57:29.479,642.984,,
231,9 Sep 2019 23:23:40.074,9 Sep 2019 23:33:55.022,614.948,,
232,10 Sep 2019 01:00:52.905,10 Sep 2019 01:10:54.213,601.308,,
233,10 Sep 2019 02:37:28.739,10 Sep 2019 02:48:07.068,638.329,,
234,10 Sep 2019 04:13:58.213,10 Sep 2019 04:24:03.744,605.531,,
235,10 Sep 2019 05:53:23.776,10 Sep 2019 05:55:25.739,121.963,,
236,10 Sep 2019 19:19:24.235,10 Sep 2019 19:25:57.924,393.69,,
237,10 Sep 2019 20:53:02.525,10 Sep 2019 21:03:33.965,631.439,,
238,10 Sep 2019 22:29:29.912,10 Sep 2019 22:39:58.362,628.449,,
239,11 Sep 2019 00:06:46.362,11 Sep 2019 00:16:44.549,598.188,,
240,11 Sep 2019 01:43:34.312,11 Sep 2019 01:54:00.963,626.651,,
241,11 Sep 2019 03:19:58.474,11 Sep 2019 03:30:32.514,634.039,,
242,11 Sep 2019 04:57:26.415,11 Sep 2019 05:04:23.180,416.765,,
243,11 Sep 2019 19:59:33.649,11 Sep 2019 20:09:33.179,599.53,,
244,11 Sep 2019 21:35:24.622,11 Sep 2019 21:46:04.229,639.606,,
245,11 Sep 2019 23:12:36.171,11 Sep 2019 23:22:38.702,602.531,,
246,12 Sep 2019 00:49:37.070,12 Sep 2019 00:59:50.459,613.389,,
247,12 Sep 2019 02:26:03.374,12 Sep 2019 02:36:46.750,643.376,,
248,12 Sep 2019 04:02:53.032,12 Sep 2019 04:11:46.978,533.946,,
249,12 Sep 2019 19:06:24.980,12 Sep 2019 19:15:22.039,537.059,,
250,12 Sep 2019 20:41:27.339,12 Sep 2019 20:52:10.786,643.447,,
251,12 Sep 2019 22:18:24.337,12 Sep 2019 22:28:37.340,613.003,,
252,12 Sep 2019 23:55:35.754,13 Sep 2019 00:05:38.705,602.95,,
253,13 Sep 2019 01:32:09.877,13 Sep 2019 01:42:49.837,639.96,,
254,13 Sep 2019 03:08:41.462,13 Sep 2019 03:18:39.142,597.68,,
255,13 Sep 2019 18:13:47.352,13 Sep 2019 18:20:49.562,422.21,,
256,13 Sep 2019 19:47:41.116,13 Sep 2019 19:58:15.723,634.606,,
257,13 Sep 2019 21:24:13.669,13 Sep 2019 21:34:40.011,626.342,,
258,13 Sep 2019 23:01:29.944,13 Sep 2019 23:11:28.525,598.581,,
259,14 Sep 2019 00:38:15.696,14 Sep 2019 00:48:44.848,629.152,,
260,14 Sep 2019 02:14:40.385,14 Sep 2019 02:25:10.889,630.504,,
261,14 Sep 2019 03:52:19.376,14 Sep 2019 03:58:45.193,385.816,,
262,14 Sep 2019 17:22:35.969,14 Sep 2019 17:25:00.387,144.418,,
263,14 Sep 2019 18:54:09.309,14 Sep 2019 19:04:16.043,606.734,,
264,14 Sep 2019 20:30:07.316,14 Sep 2019 20:40:45.477,638.161,,
265,14 Sep 2019 22:07:20.273,14 Sep 2019 22:17:21.902,601.629,,
266,14 Sep 2019 23:44:18.982,14 Sep 2019 23:54:34.905,615.922,,
267,15 Sep 2019 01:20:44.619,15 Sep 2019 01:31:27.418,642.798,,
268,15 Sep 2019 02:57:39.387,15 Sep 2019 03:06:17.166,517.779,,
269,15 Sep 2019 18:00:56.587,15 Sep 2019 18:10:07.121,550.534,,
270,15 Sep 2019 19:36:08.418,15 Sep 2019 19:46:51.969,643.551,,
271,15 Sep 2019 21:13:08.546,15 Sep 2019 21:23:19.701,611.155,,
272,15 Sep 2019 22:50:18.397,15 Sep 2019 23:00:23.163,604.766,,
273,16 Sep 2019 00:26:50.934,16 Sep 2019 00:37:32.257,641.323,,
274,16 Sep 2019 02:03:24.978,16 Sep 2019 02:13:13.797,588.819,,
275,16 Sep 2019 17:08:12.141,16 Sep 2019 17:15:39.644,447.504,,
276,16 Sep 2019 18:42:20.038,16 Sep 2019 18:52:57.288,637.25,,
277,16 Sep 2019 20:18:57.468,16 Sep 2019 20:29:21.669,624.201,,
278,16 Sep 2019 21:56:13.333,16 Sep 2019 22:06:12.522,599.189,,
279,16 Sep 2019 23:32:56.936,16 Sep 2019 23:43:28.483,631.547,,
